Register Name,Register Address,Register Width,Register Access,Register Reset Value,Register Reset Mask,Field Name,Field Offset,Field Width,Field Access,Field Reset Value,Field Reset Mask
serial_peripheral_control_reg,0x00,8,,0x00,,spi_clock_rate_select,0,2,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,clock_phase,2,1,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,clock_polarity,3,1,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,master_mode_select,4,1,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,reserved,5,1,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,serial_peripheral_enable,6,1,RW,0x0,
serial_peripheral_control_reg,0x00,8,,0x00,,serial_peripheral_interrupt_enable,7,1,RW,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,read_fifo_empty,0,1,RO,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,read_fifo_full,1,1,RO,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,write_fifo_empty,2,1,RO,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,write_fifo_full,3,1,RO,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,reserverd,4,2,RO,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,write_collision,6,1,W1C,0x0,
serial_peripheral_status_reg,0x01,8,,0x05,,serial_peripheral_interrupt_flag,7,1,W1C,0x0,
serial_peripheral_data_reg,0x02,8,,0x00,,data,0,8,RW,0x0,
serial_peripheral_extensions_reg,0x03,8,,0x00,,extended_spi_clock_rate_sel,0,2,RW,0x0,
serial_peripheral_extensions_reg,0x03,8,,0x00,,reserved,2,4,RW,0x0,
serial_peripheral_extensions_reg,0x03,8,,0x00,,interrupt_count,6,2,RW,0x0,
